CustAge,Months,CredLim
45,39,12691
49,44,8256
51,36,3418
40,34,3313
40,21,4716
44,36,4010
51,46,34516
32,27,29081
37,36,22352
48,36,11656
42,31,6748
65,54,9095
56,36,11751
35,30,8547
57,48,2436
44,37,4234
48,36,30367
41,34,13535
61,56,3193
45,37,14470
47,42,20979
62,49,1438.3
41,33,4470
47,36,2492
54,42,12217
41,28,7768
59,46,14784
63,56,10215
44,34,10100
47,42,4785
53,33,2753
53,48,2451
41,36,8923
53,38,2650
58,49,12555
55,36,3520
55,36,3035
42,36,15433
57,49,3672
66,56,7882
45,41,32426
51,44,6205
50,43,17304
49,37,3906
38,28,9830
49,30,34516
56,45,2283
59,52,2548
46,40,19458
52,40,4745
52,41,2622
54,40,1438.3
66,54,3171
49,36,19763
56,36,15769
49,36,3298
49,36,2802
56,50,4458
44,35,6273
42,34,3336
55,47,3436
48,35,34516
39,33,5926
44,32,23957
53,44,14734
51,38,34516
57,52,6584
44,20,2084
49,32,1687
50,38,25300
51,42,34516
55,42,2216
54,43,2910
42,37,22913
44,35,24312
53,36,5272
44,36,7000
37,29,7038
49,30,2536
47,38,28904
47,37,8567
44,36,34516
55,45,2158
59,52,10133
53,35,34516
52,47,3085
53,35,19040
43,35,4026
44,31,12756
57,45,5266
51,36,9930
49,38,31302
45,36,6576
53,42,2664
45,28,2535
64,52,1709
45,35,3454
53,35,3789
56,50,9689
47,37,5449
49,43,23032
41,34,34516
53,34,2940
44,32,3031
44,25,1862
43,33,8358
53,36,34516
44,36,14450
62,56,1438.3
54,36,33791
57,39,8466
42,36,15088
42,36,3263
54,36,1494
48,35,13551
49,36,18886
52,48,11976
50,39,9964
49,36,24159
53,44,5362
50,36,34516
55,36,3174
53,47,12262
47,41,3788
55,42,34516
47,36,2926
58,52,32090
53,41,11669
52,45,13532
50,36,11888
42,36,2393
43,39,6111
57,46,19270
52,43,3710
47,37,3235
44,38,11749
53,36,7753
45,40,10408
63,36,3967
39,27,6205
48,38,8025
51,42,9036
54,34,14926
59,36,6335
59,53,14979
48,38,2732
41,32,2250
55,50,10916
47,36,5349
41,24,9366
40,28,21617
68,56,13860
50,31,18386
47,41,2405
53,47,2154
42,36,2038
48,38,8135
49,38,9364
44,35,32643
43,34,3195
56,43,2852
59,36,4224
46,36,20459
47,41,3482
50,40,3065
51,43,2185
47,36,1611
58,47,2822
46,33,32975
53,47,1438.3
45,36,15875
52,45,6703
53,36,3212
50,45,34516
41,36,9797
45,36,10400
53,42,26792
67,56,3006
57,36,19482
59,36,3356
45,34,5771
51,36,11106
59,54,2890
53,45,3380
47,36,21331
49,38,12860
49,33,6278
60,55,1438.3
50,36,9355
41,31,20758
57,47,14612
43,27,27259
57,47,6347
54,41,21592
51,44,3449
47,34,6028
41,36,18214
53,43,16393
68,52,1438.3
59,36,7871
48,36,5288
44,32,11376
48,41,12302
47,33,34516
47,32,34516
43,35,10514
55,43,1438.3
59,46,1438.3
63,56,2619
58,53,24407
53,36,2377
59,40,34516
52,47,11086
48,36,11432
43,36,13258
48,36,2571
43,31,5781
44,30,7872
41,35,34516
44,38,11127
50,43,1857
60,36,1913
44,24,3839
48,39,2115
44,27,1438.3
41,28,27756
45,32,1438.3
47,34,13878
51,36,3106
51,44,34516
60,50,1438.3
57,46,18871
41,29,5207
44,36,17965
43,37,2733
55,48,8863
52,36,1857
44,33,34516
41,30,11107
44,34,21573
53,33,2859
39,36,5269
49,45,1438.3
45,36,3387
54,46,1982
49,43,4645
46,36,2189
46,30,2442
47,38,21304
44,36,7577
50,31,3234
73,36,4469
56,46,2910
59,48,3616
70,56,3252
55,36,2358
43,36,22322
45,39,3133
45,35,3540
40,23,6990
36,22,34516
59,40,1438.3
43,35,24396
46,36,2474
41,32,5214
51,46,5207
51,25,9512
43,23,3187
64,53,3353
54,38,2290
48,43,5279
40,29,23603
57,45,2601
45,40,6363
41,36,8029
42,31,2410
45,36,3401
42,23,2260
47,30,17682
48,42,4206
43,37,34516
41,36,23018
54,44,5556
54,44,6094
61,52,2939
61,48,5362
48,36,27126
45,36,3342
54,40,2532
54,46,1900
44,37,14546
50,36,2521
55,36,16427
48,36,13068
45,33,23218
60,36,3281
55,47,3096
62,52,2052
38,30,1438.3
46,39,9432
50,45,14938
45,36,2221
47,37,5731
48,33,34516
35,22,6985
51,42,24221
36,24,15439
47,36,21637
52,37,14543
43,36,9684
63,36,5007
61,54,1616
53,40,19116
53,47,2759
57,38,8249
38,31,14041
53,43,5264
63,54,2420
49,43,2826
45,34,12518
67,56,5876
