Season,AvgTemp
Winter,0.17
Winter,-0.17
Winter,-2.89
Winter,-8.94
Winter,-4.56
Winter,-9.28
Winter,-9.39
Winter,-7.72
Winter,-8.89
Winter,-12.72
Winter,-6.50
Winter,-4.50
Winter,-3.89
Winter,-5.33
Winter,-8.11
Winter,-9.28
Winter,-12.39
Winter,-13.56
Winter,-12.94
Winter,-13.28
Winter,-15.11
Winter,-15.56
Winter,-11.50
Winter,-5.78
Winter,-2.39
Winter,-2.17
Winter,0.39
Winter,-1.89
Winter,-2.72
Winter,0.89
Winter,-0.17
Winter,-8.39
Winter,-2.61
Winter,-2.56
Winter,-7.61
Winter,-2.78
Winter,-1.39
Winter,-0.06
Winter,-5.28
Winter,-5.78
Winter,-6.44
Winter,-3.22
Winter,-4.39
Winter,-1.72
Winter,1.11
Winter,0.83
Winter,0.33
Winter,0.06
Winter,0.78
Winter,0.89
Winter,-1.44
Winter,-3.00
Winter,0.00
Winter,1.61
Winter,0.89
Winter,1.06
Winter,0.94
Winter,0.06
Winter,-1.72
Spring,1.61
Spring,3.50
Spring,2.78
Spring,2.67
Spring,4.28
Spring,3.33
Spring,1.89
Spring,0.33
Spring,1.56
Spring,2.17
Spring,-1.72
Spring,-8.33
Spring,-9.28
Spring,-4.67
Spring,-3.67
Spring,-5.17
Spring,-2.44
Spring,-2.11
Spring,-0.17
Spring,0.44
Spring,2.39
Spring,0.22
Spring,-0.39
Spring,2.28
Spring,2.94
Spring,1.44
Spring,-0.17
Spring,0.78
Spring,-2.17
Spring,-0.56
Spring,0.89
Spring,-0.50
Spring,-0.78
Spring,0.33
Spring,0.11
Spring,0.78
Spring,0.39
Spring,0.72
Spring,1.89
Spring,2.17
Spring,3.17
Spring,11.50
Spring,7.72
Spring,5.72
Spring,3.28
Spring,6.50
Spring,7.94
Spring,9.39
Spring,14.17
Spring,16.67
Spring,16.94
Spring,15.44
Spring,16.83
Spring,17.39
Spring,17.94
Spring,18.28
Spring,14.39
Spring,12.61
Spring,13.39
Spring,9.94
Spring,4.11
Spring,2.56
Spring,-0.39
Spring,4.22
Spring,8.50
Spring,8.67
Spring,7.72
Spring,10.78
Spring,11.06
Spring,11.06
Spring,6.94
Spring,3.56
Spring,7.22
Spring,12.28
Spring,17.72
Spring,18.39
Spring,7.11
Spring,10.11
Spring,13.94
Spring,16.28
Spring,15.89
Spring,19.50
Spring,18.78
Spring,15.56
Spring,19.00
Spring,22.39
Spring,22.33
Spring,22.39
Spring,22.67
Spring,23.17
Spring,21.44
Spring,21.94
Summer,22.56
Summer,21.28
Summer,22.50
Summer,20.83
Summer,18.22
Summer,12.56
Summer,16.28
Summer,18.44
Summer,20.28
Summer,21.06
Summer,22.94
Summer,20.78
Summer,21.39
Summer,22.50
Summer,20.89
Summer,22.67
Summer,22.00
Summer,20.50
Summer,17.89
Summer,15.94
Summer,12.17
Summer,13.89
Summer,14.22
Summer,14.56
Summer,16.56
Summer,19.22
Summer,20.11
Summer,16.67
Summer,17.28
Summer,16.72
Summer,16.17
Summer,13.17
Summer,13.78
Summer,19.17
Summer,19.39
Summer,16.44
Summer,15.50
Summer,19.17
Summer,21.89
Summer,17.44
Summer,14.28
Summer,15.56
Summer,16.33
Summer,19.22
Summer,15.00
Summer,12.28
Summer,14.11
Summer,17.94
Summer,18.22
Summer,15.72
Summer,17.17
Summer,20.11
Summer,21.17
Summer,17.39
Summer,15.83
Summer,17.89
Summer,16.94
Summer,13.67
Summer,15.94
Summer,19.50
Summer,16.39
Summer,17.67
Summer,18.50
Summer,19.28
Summer,20.72
Summer,16.89
Summer,15.44
Summer,15.78
Summer,16.72
Summer,11.67
Summer,13.00
Summer,11.39
Summer,10.33
Summer,9.89
Summer,11.11
Summer,12.83
Summer,14.56
Summer,15.67
Summer,17.83
Summer,20.06
Summer,18.22
Summer,13.33
Summer,11.94
Summer,16.78
Summer,19.28
Summer,20.61
