RH,Res,Disc
82,88,50
19,80,17
11,43,38
80,90,18
15,50,43
70,90,32
80,83,71
90,84,30
11,43,39
10,94,10
78,88,14
71,97,15
97,88,30
87,80,9
79,91,22
80,90,79
26,20,34
71,80,65
91,81,36
78,80,50
87,81,69
88,89,81
9,2,53
71,83,80
91,80,36
14,8,79
9,7,3
80,82,19
97,88,31
13,13,70
79,80,61
1,4,49
79,88,68
79,80,69
80,82,70
88,91,82
10,1,40
74,60,36
13,82,30
89,70,13
78,87,83
72,64,89
26,41,13
79,89,54
87,79,97
11,59,69
71,76,40
79,80,30
6,9,29
78,98,11
85,74,53
78,91,40
74,70,53
1,3,30
1,4,29
86,47,96
15,51,11
74,71,36
8,15,40
71,63,88
82,88,49
94,87,80
15,42,33
15,49,43
74,84,79
74,70,52
72,50,24
83,76,68
80,82,13
1,1,80
81,83,79
1,3,3
3,5,16
1,6,9
18,19,40
1,6,9
82,83,78
4,19,50
4,7,60
81,81,13
7,9,30
80,41,12
80,83,71
79,92,43
80,90,19
17,80,10
9,7,29
18,6,12
79,80,11
17,49,4
72,79,96
80,88,38
77,79,19
84,14,53
72,74,89
1,7,8
90,86,73
11,26,39
75,72,39
9,11,12
99,75,70
81,83,78
78,82,53
6,9,30
89,88,12
79,84,37
4,3,8
86,91,89
100,74,69
78,70,29
5,9,97
72,80,66
90,86,74
77,69,12
2,8,1
82,89,31
79,80,61
100,75,69
84,86,9
80,89,79
24,34,31
70,84,80
19,4,1
72,40,27
15,16,20
4,19,50
100,90,39
71,73,88
89,86,74
11,1,13
72,90,30
35,91,33
24,81,20
89,97,37
72,51,23
74,61,42
39,62,32
9,18,37
15,16,20
79,90,18
84,86,10
71,79,95
17,60,13
85,98,89
30,16,57
10,35,12
9,9,50
38,70,26
79,79,11
31,14,29
7,9,9
2,11,29
72,75,40
1,4,50
95,94,79
86,92,88
7,4,79
87,92,59
100,74,70
95,94,70
78,91,22
74,85,43
72,86,89
70,75,11
74,62,43
71,79,95
89,62,60
24,10,29
85,88,61
84,99,90
72,84,81
73,60,37
86,93,59
79,89,18
9,93,10
76,68,12
19,77,87
100,80,90
71,89,29
14,42,32
97,87,84
50,69,9
72,83,88
87,92,89
79,80,70
79,71,83
79,89,80
78,91,22
79,44,9
100,75,69
65,85,39
